 [DEBUG] 2019-02-27 11:01:08,415 [14] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-02-27 11:01:08,584 [14] MAuthAPI.Controllers.AuthorizationController - GetStationList - Entered intoGet Stattion List
 [DEBUG] 2019-02-27 11:01:41,588 [14] MAuthAPI.CommonExceptionHandler - MoveNext - Exeception path is D:\OProjects\WildAbout\Release\Service\ErrorLog
 [ERROR] 2019-02-27 11:01:41,590 [14] MAuthAPI.CommonExceptionHandler - MoveNext - Exeception   is A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: Named Pipes Provider, error: 40 - Could not open a connection to SQL Server)
 [DEBUG] 2019-02-27 11:21:18,948 [47] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-02-27 11:21:18,958 [51] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-02-27 11:21:18,959 [51] MAuthAPI.Controllers.AuthorizationController - GetAttractions - Entered into Get Attractions
 [DEBUG] 2019-02-27 11:21:39,501 [36] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-02-27 11:21:39,554 [51] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-02-27 11:21:42,652 [37] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-02-27 11:21:42,669 [47] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-02-27 11:21:53,870 [48] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-02-27 11:21:53,875 [37] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-02-27 11:21:54,070 [37] MAuthAPI.Controllers.AuthorizationController - Validate - Entered into validate with code 12444
 [DEBUG] 2019-02-27 11:22:46,296 [51] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-02-27 11:22:46,305 [43] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-02-27 11:22:46,317 [37] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-02-27 11:22:46,319 [50] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-02-27 11:22:46,320 [50] MAuthAPI.Controllers.AuthorizationController - GetAttractions - Entered into Get Attractions
 [DEBUG] 2019-02-27 11:22:54,176 [43] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
